Name,Current price,Change(%),Open,High,Low,Volume
E.W. SCRIPPS CO.,2.64,14.35,2.75,2.78,2.62,551381
ULTRA CLEAN HOLDINGS INC.,40.93,3.15,40.64,41.61,40.57,550835
TPG INC.,60.41,10.21,60.66,60.97,60.27,549644
BIONTECH SE ADS,120.14,10.32,119.68,121.57,119.67,548935
SBA COMMUNICATIONS,239.82,2.7,233.6,240.29,233.2,546216
VIR BIOTECHNOLOGY INC.,7.67,1.05,7.54,7.77,7.54,545295
IMMUNOVANT INC.,29.44,13.16,30.45,30.5,29.37,544863
AMC NETWORKS INC.,7.82,12.01,7.95,8.23,7.82,544764
GRIFOLS S.A. ADS,8.58,10.12,8.43,8.76,8.41,544462
PROFRAC HOLDING,6.98,14.51,7.13,7.16,6.82,542498
BENTLEY SYSTEMS INC.,50.97,0.63,50.82,51.12,50.44,542303
VIVID SEATS INC.,3.88,10.51,3.93,3.93,3.81,541891
EUROPEAN WAX CENTER INC.,6.49,14.28,6.75,6.75,6.43,541195
PHOENIX MOTOR INC.,0.7241,110.07,0.78,0.79,0.7011,539732
THE REALREAL INC.,3.32,11.78,3.38,3.38,3.28,539603
CVB FINANCIAL CORP.,19.01,1.06,18.78,19.12,18.6,538619
REPAY HOLDINGS CORP.,7.97,0.89,7.91,8.06,7.76,538612
CARIBOU BIOSCIENCES INC.,1.9,0.0,1.9,1.92,1.85,537943
TEXAS CAPITAL BANCSHARES INC.,77.09,1.72,75.82,77.4,75.49,536937
AURINIA PHARMACEUTICALS INC,7.12,0.56,7.08,7.13,6.99,536607
OPERA LTD.,15.3,12.55,15.8,15.8,15.0,536233
ALGORHYTHM HOLDINGS INC.,0.5031,16.02,0.53,0.5375,0.494,534368
FUNKO INC.,11.86,13.03,12.17,12.2,11.46,531907
WINDTREE THERAPEUTICS INC.,0.68,14.9,0.72,0.75,0.6585,531864
AQUA METALS INC.,0.1589,13.87,0.173,0.1735,0.1535,531478
BIOMEA FUSION INC.,10.41,13.43,10.88,11.09,10.35,530125
JAZZ PHARMACEUTICALS PLC,111.03,2.05,109.07,111.15,108.93,529648
NAPCO SECURITY TECHNOLOGIES,40.42,2.59,39.53,40.47,39.04,529334
DENNY S CORP.,6.34,0.0,6.33,6.42,6.18,529233
SUNOPTA INC.,6.37,10.78,6.38,6.46,6.11,528278
TRUPANION INC.,50.52,3.04,49.5,51.48,49.35,528214
MANHATTAN ASSOCIATES INC.,304.64,1.72,300.74,305.61,298.34,528131
BLACKLINE INC.,56.4,0.64,56.14,56.44,55.13,528119
RADNET INC.,70.62,2.97,68.77,71.85,68.77,527541
SUTRO BIOPHARMA INC.,3.83,1.06,3.77,3.87,3.65,526400
LIGHTBRIDGE CORP.,3.75,18.3,3.2,3.8,3.2,524357
RED ROCK RESORTS INC.,52.75,0.4,52.19,53.11,52.0,522786
BLUE BIRD CORP.,44.95,1.81,44.28,45.12,44.19,522651
THE COOPER COMPANIES INC.,107.68,0.88,106.93,107.75,106.73,521202
EXLSERVICE HOLDINGS INC.,39.91,1.09,40.03,40.11,39.67,519437
INTRA-CELLULAR THERAPIES INC.,73.84,12.53,76.02,76.14,73.76,519254
CHILDREN S PLACE INC. (THE),14.06,2.48,13.41,14.58,13.41,519231
DOCGO INC.,3.28,0.61,3.25,3.3,3.22,516752
CHORD ENERGY CORP.,132.37,11.0,132.91,133.74,131.73,516545
ICECURE MEDICAL,0.59,4.59,0.57,0.6052,0.56,515661
COMPASS PATHWAYS PLC ADS,6.12,1.66,5.97,6.24,5.93,515152
IDEXX LABORATORIES INC.,478.0,0.36,478.0,479.58,474.33,512443
QUHUO LTD.,1.5,4.9,1.43,1.8,1.43,510618
ASTRANA HEALTH INC.,59.64,6.06,56.85,59.76,56.58,509785
SOLENO THERAPEUTICS INC.,53.86,11.63,54.52,55.27,53.38,509600
VERASTEM INC.,3.0,1.01,2.99,3.04,2.95,509399
ENLIVEN THERAPEUTICS INC.,27.75,10.57,27.95,28.0,27.29,508624
CHEETAH NET SUPPLY CHAIN SERVICE,0.2162,11.73,0.2199,0.2199,0.209,508039
VINFAST AUTO,3.81,2.14,3.73,3.83,3.69,507627
OXFORD SQUARE CAPITAL,2.93,0.34,2.92,2.94,2.91,506087
ARGO BLOCKCHAIN PLC ADS,1.16,2.65,1.17,1.19,1.11,505261
TEMPUS AI INC.,50.72,3.89,49.01,51.4,48.66,503932
ITRON INC.,110.06,1.63,109.0,110.87,108.14,503138
SURGERY PARTNERS INC.,31.75,4.24,31.23,31.94,30.41,500826
GAMING AND LEISURE PROPERTIES,51.02,0.47,50.66,51.18,50.5,499735
CAMTEK,87.61,4.1,85.72,88.34,85.59,498192
CAL-MAINE FOODS INC.,90.56,0.12,90.14,90.85,89.71,497378
REGENERON PHARMACEUTICALS INC.,1014.25,10.14,1018.48,1023.69,1009.45,497320
NORTHWESTERN ENERGY GROUP INC.,55.6,0.89,55.33,56.14,55.21,496077
CLEARPOINT NEURO INC.,12.41,6.89,11.63,12.43,11.57,494037
THE MIDDLEBY CORP.,137.8,3.4,132.65,138.15,131.87,493919
AURORA CANNABIS INC.,5.62,2.74,5.5,5.64,5.38,493443
AVIDITY BIOSCIENCES INC.,46.71,0.24,46.09,47.21,45.58,493208
VAXCYTE INC.,113.11,11.14,114.85,115.1,112.67,490873
CARGURUS INC.,31.12,0.74,30.82,31.3,30.56,490802
ORIC PHARMACEUTICALS INC.,9.54,2.25,9.33,9.82,9.25,489930
AGIOS PHARMACEUTICALS INC.,41.28,13.21,42.38,42.77,40.94,489574
ANAVEX LIFE SCIENCES,5.41,0.56,5.36,5.55,5.33,488967
ADAPTHEALTH CORP.,10.02,10.69,10.01,10.1,9.95,486560
NICE LTD ADS,173.29,1.29,171.84,175.48,170.27,486286
VIRIDIAN THERAPEUTICS INC.,23.54,10.38,23.57,24.08,23.34,485410
RED ROBIN GOURMET BURGERS INC.,5.58,3.33,5.4,5.6,5.3,484852
HILLMAN SOLUTIONS,10.49,3.25,10.15,10.5,9.96,483556
JACK IN THE BOX INC.,44.37,11.47,44.68,44.68,43.57,481820
FORTRESS BIOTECH INC.,1.68,3.07,1.65,1.7,1.64,481811
ONTRAK INC.,2.53,3.69,2.45,2.85,2.45,476379
IDEAYA BIOSCIENCES INC.,30.47,11.39,30.79,31.08,30.37,474640
DYNE THERAPEUTICS INC.,33.31,11.07,33.43,33.95,32.93,473940
P3 HEALTH PARTNERS INC.,0.3161,1.97,0.31,0.3396,0.3076,473610
LANTRONIX INC.,4.11,2.49,4.05,4.16,3.98,472091
LOGITECH INTERNATIONAL S.A. REGISTERED,88.19,2.21,86.57,88.24,86.57,470942
PRAXIS PRECISION MEDICINES,70.04,7.75,66.27,70.79,64.85,470514
TRINITY CAPITAL INC.,13.86,0.36,13.84,13.9,13.77,469490
PHILLIPS EDISON & CO.,36.49,0.72,36.08,36.74,36.03,469410
GSE SYSTEMS INC.,4.15,1.22,4.13,4.35,4.08,467472
CANTALOUPE INC.,8.94,12.93,9.22,9.31,8.89,466097
TEXAS ROADHOUSE INC.,176.05,0.2,175.29,176.5,174.75,465659
PRECIGEN INC.,0.903,0.49,0.8854,0.9196,0.879,463177
SCILEX HOLDING CO.,0.7868,10.39,0.8,0.8,0.7707,462917
CABALETTA BIO INC.,4.25,0.95,4.2,4.36,4.12,461476
PREMIER INC.,19.37,0.1,19.41,19.5,19.26,461256
REPLIGEN CORP.,143.05,3.05,138.66,143.44,137.4,460205
RENEW ENERGY GLOBAL PLC SHARES,5.93,0.34,5.91,5.98,5.89,460090
FORMFACTOR INC.,48.72,0.95,48.66,49.9,48.65,459262
I-MAB ADS,1.38,8.66,1.27,1.4,1.26,459242
VERRICA PHARMACEUTICALS INC.,1.42,5.97,1.35,1.44,1.3,457757
TOWER SEMICONDUCTOR,46.03,0.46,46.05,46.53,45.61,453953
KULICKE AND SOFFA INDUSTRIES,46.61,2.96,45.73,46.96,45.73,453335
ALTERNUS CLEAN ENERGY INC.,2.43,17.95,2.6,2.6,2.3,453035
SINCLAIR INC.,17.36,11.81,17.57,17.62,16.75,452491
MERCER INTERNATIONAL INC.,7.05,14.47,7.38,7.4,7.01,451071
TENAYA THERAPEUTICS INC.,1.69,14.52,1.84,1.84,1.67,449647
ANAPTYSBIO INC.,34.74,4.58,33.16,35.77,33.06,449546
LATHAM GROUP INC.,6.98,0.43,6.94,7.02,6.83,447988
MAWSON INFRASTRUCTURE GROUP,1.28,7.56,1.22,1.31,1.22,446911
BIGCOMMERCE HLD.,5.62,10.88,5.69,5.71,5.58,444414
SAFETY SHOT INC.,1.21,13.97,1.26,1.29,1.18,444211
INTEGRAL AD SCIENCE HOLDING,10.78,3.45,10.47,10.79,10.4,443915
NEW MOUNTAIN FINANCE,11.65,10.43,11.74,11.76,11.65,443520
COMMERCE BANCSHARES INC.,60.29,0.65,59.8,60.39,59.41,442891
CREXENDO INC.,5.54,6.74,5.25,5.85,5.25,442743
TENABLE HOLDINGS INC.,42.32,0.43,42.39,42.92,41.93,442406
CG ONCOLOGY INC.,37.52,3.96,35.81,37.74,35.6,441464
RESOURCES CONNECTION INC.,8.28,10.96,8.35,8.35,8.23,441237
CARDIOL THERAPEUTICS INC.,1.84,12.13,1.87,1.96,1.84,440831
VERISIGN INC.,188.39,0.15,188.54,189.46,187.63,440036
TURBO ENERGY S.A. ADS,1.74,119.44,2.01,2.15,1.62,440001
SCHRODINGER INC.,17.83,0.91,17.71,18.0,17.44,438494
EVERQUOTE INC.,19.52,12.59,20.0,20.0,19.07,438375
JIADE LTD.,0.7501,20.69,0.628,0.7798,0.61,437944
GOODRX HOLDINGS INC.,6.91,0.14,6.89,6.96,6.79,437614
WERNER ENTERPRISES INC.,36.38,0.14,36.22,36.41,35.57,435688
AEMETIS INC,2.68,13.6,2.75,2.77,2.64,434479
CRINETICS PHARMACEUTICALS INC.,53.1,10.08,53.0,53.5,52.38,434269
UPBOUND GROUP INC.,29.37,1.73,28.71,29.44,28.5,433794
UPSTREAM BIO INC.,23.38,1.0,21.32,23.57,21.2,433701
LIBERTY MEDIA CORP.,79.17,0.44,78.78,79.47,78.75,433451
APOLLOMICS INC.,0.137,12.14,0.1392,0.1421,0.1366,432971
SAVARA INC.,3.66,12.92,3.74,3.78,3.62,432803
PALLADYNE AI CORP.,2.45,4.7,2.36,2.47,2.24,432403
BEACON ROOFING SUPPLY INC.,93.36,1.64,92.18,94.08,92.0,432156
GD CULTURE GROUP,2.59,15.13,2.71,2.72,2.57,432139
SUN COUNTRY AIRLINES HLD.,10.56,10.85,10.62,10.71,10.44,431752
99 ACQUISITION GROUP,1.0,0.0,0.01,0.01,1.0,430387
INTAPP INC.,48.56,2.04,48.04,48.72,48.04,429477
CINCINNATI FINANCIAL,136.88,0.36,136.35,137.0,135.06,427730
FORWARD AIR CORP.,35.62,13.0,36.46,36.46,35.0,425362
TARSUS PHARMACEUTICALS INC.,36.48,2.16,35.64,36.72,35.34,424681
FULCRUM THERAPEUTICS INC.,3.57,2.59,3.46,3.58,3.45,424128
NUVEI CORP.,33.42,10.21,33.41,33.5,33.39,423906
TTEC HOLDINGS INC.,5.82,13.96,6.03,6.03,5.82,423838
ARBUTUS BIOPHARMA,3.86,10.52,3.88,3.9,3.83,423513
REGENXBIO INC.,10.2,3.13,9.89,10.28,9.87,423279
CRONOS GROUP INC.,2.2,10.45,2.22,2.22,2.18,422936
JANUX THERAPEUTICS INC.,49.35,10.4,49.26,49.98,48.7,422814
MONOLITHIC POWER SYSTEMS INC.,943.21,0.51,947.12,954.0,935.01,422048
STAR FASHION CULTURE HLD.,3.36,3.07,3.06,3.75,2.93,420775
LARIMAR THERAPEUTICS INC.,7.25,3.72,6.99,7.39,6.97,420428
QUALYS INC.,125.44,10.12,126.52,128.18,123.96,420409
SILEXION THERAPEUTICS CORP,0.2964,3.93,0.288,0.2972,0.272,420092
APPIAN CORP.,31.88,1.82,31.45,32.19,31.13,419901
EQUINIX INC.,866.02,10.64,867.89,873.57,863.33,418526
SUNRISE NEW ENERGY CO. LTD,1.05,0.0,1.04,1.36,1.0,418473
LIBERTY LATIN AMERICA,9.49,10.21,9.51,9.56,9.42,417995
ODYSSEY MARINE EXPLORATION,0.6105,11.17,0.62,0.629,0.5902,417477
LANTHEUS HOLDINGS INC.,110.72,11.31,113.1,113.86,110.24,416661
OAKTREE SPECIALTY LENDING,16.39,0.31,16.35,16.4,16.3,416344
BLUEPRINT MEDICINES,88.65,10.18,87.61,89.18,87.41,416227
EYENOVIA INC.,0.4568,2.33,0.4551,0.4698,0.4372,415012
SAREPTA THERAPEUTICS INC.,124.37,10.11,124.42,124.94,122.74,414738
GENEDX HOLDINGS,59.75,10.42,61.41,61.41,57.12,413149
NEWS CORP.,27.48,0.29,27.43,27.52,27.19,412999
EZCORP INC. NON-VOTING,11.26,10.71,11.35,11.35,11.19,412562
TREACE MEDICAL CONCEPTS INC.,5.2,11.14,5.21,5.25,5.11,412079
CRACKER BARREL OLD COUNTRY STORE,43.51,12.31,44.31,44.5,43.0,410703
DIRECT DIGITAL HLD.,3.61,19.54,3.28,3.97,3.2,410382
AVEPOINT INC.,12.34,11.28,12.54,12.54,12.28,410308
BICARA THERAPEUTICS INC.,19.97,2.89,19.35,21.1,19.07,409751
DUOLINGO INC.,288.26,10.51,284.4,289.63,280.54,407565
JEFFS BRANDS LTD,0.2419,17.78,0.2623,0.28,0.2141,405847
ICON PLC,296.55,10.03,295.88,298.61,292.45,405795
FIRST BUSEY CORP.,24.9,11.46,24.85,25.09,24.27,404201
AXONICS INC.,70.22,10.11,70.3,70.32,70.17,404067
SPORTRADAR GROUP AG,12.41,0.0,12.4,12.5,12.21,404041
HARMONIC INC.,13.78,0.8,13.71,13.79,13.57,403820
KOPIN CORP.,0.7252,10.89,0.73,0.7438,0.72,400959
BLACKROCK TCP CAPITAL,8.3,1.22,8.17,8.3,8.13,400902
ELEVATION ONCOLOGY INC.,0.5157,0.62,0.52,0.5275,0.5082,399664
CHURCHILL DOWNS INC.,138.69,10.27,139.07,139.49,137.62,399156
NORTHWEST BANCSHARES INC.,13.41,1.06,13.27,13.45,13.18,398803
MERCURY SYSTEMS INC,35.85,10.97,36.2,36.24,35.49,398300
IMPINJ INC.,238.58,1.24,238.0,239.88,235.65,398164
INNODATA INC.,17.09,3.2,16.79,17.36,16.55,397707
WAYSTAR HOLDING,27.74,10.5,28.2,28.2,27.67,397294
VISTEON CORP.,91.24,11.6,92.45,92.45,90.64,395334
FINGERMOTION INC.,2.18,19.17,2.35,2.38,2.13,394105
ANSYS INC.,335.31,1.6,333.24,335.5,329.46,393884
MILLERKNOLL INC.,24.37,1.54,23.94,24.45,23.83,392874
CRYOPORT INC.,7.13,2.15,6.97,7.22,6.92,392276
BIOVENTUS INC.,12.57,3.63,12.09,12.68,12.01,390555
ZIFF DAVIS INC.,45.73,1.94,45.0,45.78,44.34,390204
GREENIDGE GENERATION HLD.,2.22,4.23,2.17,2.5,2.17,389577
FIRST WATCH RESTAURANT GROUP,14.37,2.64,14.15,14.5,13.84,389391
STEPSTONE GROUP INC.,59.96,10.02,60.08,60.43,59.69,389306
AMPLITUDE INC.,8.64,1.29,8.66,8.71,8.47,389179
THE REAL BROKERAGE INC.,5.24,1.55,5.16,5.28,5.16,388000
SELLAS LIFE SCIENCES GROUP,1.25,0.81,1.26,1.28,1.23,387709
HARROW INC.,50.89,0.35,50.9,51.21,49.74,387489
INSULET CORP.,232.51,10.25,233.73,234.18,230.37,386979
GARRETT MOTION INC.,8.16,10.49,8.22,8.22,8.09,386925
DAKTRONICS INC.,13.51,10.07,13.5,13.59,13.39,386071
TRIMAS CORP.,26.57,2.19,25.94,27.01,25.86,385935
MIDCAP FINANCIAL INVESTMENT,13.32,10.67,13.36,13.42,13.31,385842
CAPITOL FEDERAL FINANCIAL INC.,5.9,1.37,5.81,5.91,5.76,385730
SIMMONS FIRST NATIONAL,22.67,1.75,22.28,22.78,22.14,385235
SEI INVESTMENTS CO.,71.14,1.48,70.33,71.15,70.05,385200
VERA THERAPEUTICS INC.,42.18,11.26,42.51,43.42,42.14,384957
HUB GROUP INC.,44.09,1.33,43.25,44.14,42.97,383330
ATOSSA THERAPEUTICS INC.,1.42,11.39,1.43,1.43,1.39,382727
CARMELL CORP.,0.3476,12.91,0.3473,0.36,0.3173,382393
BIG TREE CLOUD HOLDINGS,5.07,38.52,3.74,5.18,3.69,382115
ITERUM THERAPEUTICS PLC ORD.,1.01,8.6,0.98,1.05,0.97,382088
MARKER THERAPEUTICS INC.,3.39,25.09,2.67,4.06,2.67,380689
EXP WORLD HOLDINGS INC.,13.15,10.45,13.19,13.2,12.99,380011
LANZATECH GLOBAL INC.,1.92,18.57,2.0,2.05,1.88,379778
IMMUNOME INC.,12.15,10.65,12.17,12.27,11.87,379748
TOP FINANCIAL GROUP,2.07,0.0,1.99,2.22,1.99,379367
AMARIN CORP.,0.582,11.36,0.585,0.603,0.576,379216
NATURE S MIRACLE HOLDING INC.,0.1838,1.43,0.1767,0.184,0.1733,379204
HANCOCK WHITNEY,53.03,1.01,52.43,53.31,52.05,378679
DESTINATION XL GROUP INC.,2.8,12.78,2.86,2.93,2.79,377871
AIR TRANSPORT SERVICES GROUP,16.29,0.0,16.22,16.42,16.08,376929
BICYCLE THERAPEUTICS PLC ADS,26.19,11.02,26.85,27.14,25.4,376913
DIGITAL ALLY INC.,1.14,12.87,1.0,1.17,1.0,376911
ASP ISOTOPES INC.,3.03,10.66,3.04,3.13,2.98,376360
PACIRA BIOSCIENCES INC.,16.32,0.62,16.25,16.39,15.92,376111
RETAIL OPPORTUNITY INVESTMENTS,15.68,0.26,15.61,15.72,15.44,375953
COGNYTE SOFTWARE,6.91,3.29,6.68,6.92,6.56,375364
NAVIENT CORP.,15.48,11.46,15.74,15.74,15.45,374355
VINCERX PHARMA INC.,0.405,3.32,0.3898,0.41,0.3898,374326
RAIL VISION,0.4626,10.9,0.4631,0.4808,0.4548,373944
LIVEONE INC.,0.655,17.43,0.7,0.7025,0.6499,373902
VOXX INTERNATIONAL,7.98,11.92,7.16,8.02,7.03,373389
NKGEN BIOTECH INC.,0.2461,112.11,0.285,0.2949,0.2461,373369
B. RILEY FINANCIAL,23.0,25.0,22.1,23.24,21.81,372486
KEZAR LIFE SCIENCES INC.,0.87,2.64,0.855,0.8781,0.855,371397
HORIZON TECHNOLOGY FINANCE,10.48,0.19,10.5,10.53,10.35,370994
VOYAGER THERAPEUTICS INC.,7.36,2.51,7.2,7.39,7.08,370954
KEROS THERAPEUTICS INC.,60.5,1.2,59.38,61.51,58.71,369159
PACIFIC PREMIER BANCORP INC,26.39,1.77,25.93,26.53,25.6,368446
EAGLE BANCORP INC.,24.1,1.73,23.73,24.18,23.33,368439
SIGA TECHNOLOGIES INC.,6.75,11.75,6.83,6.83,6.46,367713
IMMERSION CORP.,8.47,10.35,8.49,8.6,8.39,367358
ACI WORLDWIDE INC.,52.66,0.0,52.85,52.89,52.41,367090
PRELUDE THERAPEUTICS INC.,1.94,11.02,1.98,1.98,1.92,366930
CASELLA WASTE SYSTEMS INC.,102.17,1.15,100.88,102.37,100.88,364268
XOMETRY INC.,18.81,4.73,18.08,18.87,17.1,364152
NEWAMSTERDAM PHARMA CO.,19.16,5.33,18.25,19.35,18.05,363884
VOR BIOPHARMA INC.,0.6645,10.84,0.6685,0.6899,0.6599,363234
INTERDIGITAL INC.,155.86,0.35,155.69,156.99,154.25,362899
PROKIDNEY,1.75,14.37,1.84,1.9,1.71,361186
GEOVAX LABS INC.,2.01,10.99,2.04,2.05,1.9,361050
SKYE BIOSCIENCE INC.,4.09,14.66,4.34,4.4,3.77,360719
CORBUS PHARMACEUTICALS HLD.,18.69,10.48,18.69,19.53,18.45,358596
OUTSET MEDICAL INC.,0.5983,11.03,0.6099,0.6174,0.5983,357783
BIOXCEL THERAPEUTICS INC.,0.5364,1.88,0.53,0.55,0.5237,357746
FANHUA INC. ADS,1.7,19.09,1.82,1.82,1.67,355392
HEALTHEQUITY INC.,84.97,10.53,85.0,85.59,84.4,355375
IHEARTMEDIA INC.,2.02,2.54,1.97,2.05,1.97,354530
WIMI HOLOGRAM CLOUD INC. ADS,0.9226,12.88,0.94,0.95,0.9,354017
LA ROSA HOLDINGS,0.5065,17.06,0.599,0.5999,0.5005,353644
4D MOLECULAR THERAPEUTICS INC.,9.03,11.53,9.11,9.29,8.97,353528
ORASURE TECHNOLOGIES INC.,4.05,11.22,4.11,4.13,4.03,352809
BANZAI INTERNATIONAL INC.,3.7,116.48,4.33,4.34,3.56,352385
SHENGFENG DEVELOPMENT,1.27,11.55,1.24,1.35,1.2,351092
GORILLA TECHNOLOGY GROUP INC.,4.05,11.7,4.12,4.12,3.99,349807
BIOLINERX LTD. ADS,0.4605,15.54,0.5,0.5,0.44,349543
ALDEYRA THERAPEUTICS INC.,5.44,1.3,5.41,5.47,5.29,348271
RAPID7 INC.,40.56,10.37,40.86,41.1,40.13,348100
AMMO INC.,1.3,0.0,1.3,1.32,1.29,347049
UNITED BANKSHARES INC.,37.48,0.86,37.18,37.69,36.82,346951
BJ S RESTAURANTS INC.,33.25,12.52,34.03,34.15,33.04,345781
STAGWELL INC.,6.79,11.45,6.88,6.89,6.69,345388
ZILLOW GROUP INC.,60.82,0.0,60.62,61.15,60.07,345334
PAYCOR HCM INC.,13.39,0.75,13.33,13.47,13.14,345051
WAFD INC.,36.06,0.81,35.79,36.27,35.39,343648
COLUMBIA SPORTSWEAR CO.,79.93,10.25,80.21,80.46,79.56,343542
INHIBIKASE THERAPEUTICS INC.,1.59,8.16,1.4,1.65,1.4,341888
VERA BRADLEY INC.,5.58,7.72,5.25,5.68,5.21,340627
GLADSTONE INVESTMENT,13.95,1.97,13.66,14.04,13.66,340572
QUANTUM-SI INC.,0.8101,11.76,0.8246,0.8549,0.7945,339452
GROWGENERATION CORP.,2.01,11.95,2.07,2.07,1.98,338851
ORANGEKLOUD TECHNOLOGY INC.,7.36,8.24,6.9,7.75,6.9,337991
CINEVERSE CORP.,1.46,0.69,1.61,1.67,1.41,337260
MARKETAXESS HOLDINGS INC.,284.5,2.3,279.06,285.64,278.33,335810
NETSCOUT SYSTEMS INC.,21.55,10.74,21.84,21.93,21.42,333182
THE BALDWIN INSURANCE GROUP,52.25,1.22,51.88,52.6,51.54,332987
LIVANOVA PLC,53.81,2.44,52.63,54.12,52.26,332650
FIRST INTERSTATE BANCSYSTEM,30.97,0.65,30.77,31.21,30.62,332318
RACKSPACE TECHNOLOGY INC.,2.64,12.22,2.68,2.73,2.62,331719
G-III APPAREL GROUP,30.51,0.2,30.26,30.56,29.89,331604
FRESHPET INC.,144.14,1.52,141.8,144.63,141.26,331574
SEACOAST BANKING,27.09,1.73,26.65,27.22,26.39,330826
IGM BIOSCIENCES INC.,16.8,12.0,15.25,17.85,15.12,329086
AUTOLUS THERAPEUTICS PLC ADS,4.18,0.97,4.1,4.2,4.07,328852
QUANTASING GROUP,3.7,3.64,3.55,3.7,3.55,328546
E-HOME HOUSEHOLD SERVICE HLD.,0.95,12.76,0.97,0.9759,0.94,328498
CURIOSITYSTREAM INC.,2.16,2.37,2.1,2.21,2.03,328400
THE ODP CORP.,30.14,0.3,29.94,30.29,29.71,328247
CLEARMIND MEDICINE INC.,1.41,3.68,1.33,1.47,1.33,328209
NOVO INTEGRATED SCIENCES INC.,0.2932,11.61,0.2659,0.2984,0.263,328181
WILLDAN GROUP INC.,43.94,1.76,43.15,44.08,42.75,328050
MEIRAGTX HOLDINGS PLC,4.64,9.18,4.24,4.64,4.23,327984
THE BANCORP INC.,56.26,2.05,55.19,56.61,54.79,327455
PROFICIENT AUTO LOGISTICS INC.,13.55,15.97,14.47,14.47,13.42,327389
JACK HENRY & ASSOCIATES INC.,184.29,0.5,183.74,184.65,182.96,327366
AXSOME THERAPEUTICS INC.,85.42,12.44,87.72,87.72,85.01,327196
OPEN TEXT CORP.,33.62,10.56,33.89,33.9,33.38,326715
AXON ENTERPRISE INC.,437.98,0.69,437.14,440.89,435.44,326365
AVNET INC.,55.37,0.64,55.04,55.67,55.02,325871
ARCELLX INC.,86.81,0.71,86.05,87.79,86.0,325606
AFFIMED N.V.,3.12,4.0,3.04,3.13,2.95,324456
POPULAR INC.,100.56,10.01,100.57,101.22,99.78,324228
DISC MEDICINE INC.,47.99,0.5,47.54,48.87,47.25,323703
HOPE BANCORP INC.,12.97,1.25,12.8,13.02,12.7,322870
KINIKSA PHARMACEUTICALS,26.63,0.26,26.58,26.82,26.54,322298
WINGSTOP INC.,399.05,11.18,405.95,407.09,394.33,321019
PLAYTIKA HOLDING,7.5,0.13,7.5,7.51,7.43,320898
THE LOVESAC COMPANY,27.55,5.76,26.2,27.62,26.04,320847
RAMACO RESOURCES INC.,11.09,11.16,11.08,11.26,10.92,320747
HEALTHCARE SERVICES GROUP INC.,10.45,2.65,10.17,10.46,10.12,320297
LAMAR ADVERTISING CO.,136.24,1.87,133.79,136.65,133.01,319264
ZYMEWORKS INC.,13.3,0.76,13.21,13.4,13.17,318996
KARYOPHARM THERAPEUTICS INC.,0.85,11.3,0.872,0.872,0.8407,317452
INTERFACE INC.,19.37,2.0,18.96,19.45,18.86,317361
WETOUCH TECHNOLOGY INC.,2.0,12.91,2.13,2.2,1.96,317237
MONRO INC.,27.17,0.97,26.8,27.28,26.66,317048
ALX ONCOLOGY HLD.,1.55,0.65,1.55,1.61,1.5,316989
LUNA INNOVATIONS INC.,1.67,112.11,1.91,1.91,1.63,316879
ALGOMA STEEL GROUP INC.,10.03,0.5,9.92,10.05,9.82,316710
HALLADOR ENERGY CO.,10.04,13.37,10.4,10.55,9.97,316101
ROCKWELL MEDICAL INC.,3.49,1.45,3.48,3.53,3.39,315569
ESTABLISHMENT LABS HLD.,41.28,3.64,40.42,42.32,39.52,314767
TRINITY BIOTECH PLC ADS,1.72,114.0,2.02,2.02,1.56,314600
QUANTERIX CORP.,12.23,4.0,11.7,12.23,11.64,314331
CENTURY THERAPEUTICS INC.,1.48,14.52,1.55,1.55,1.43,314056
SEER INC.,1.99,0.51,1.96,2.01,1.95,313358
MARTEN TRANSPORT,16.73,11.24,16.48,16.8,16.26,312111
SKYWEST INC.,92.74,1.55,91.96,93.01,91.19,311946
BROOKLINE BANCORP INC.,10.34,1.27,10.2,10.35,10.12,311874
DIANTHUS THERAPEUTICS INC.,25.43,17.53,27.58,27.94,24.93,311822
BUZZFEED INC.,2.43,2.97,2.37,2.46,2.35,311246
THE ENSIGN GROUP INC.,147.83,0.4,147.24,148.08,145.72,310575
TREVI THERAPEUTICS INC.,3.18,1.92,3.12,3.22,3.09,310310
TUNIU CORP.,1.16,10.85,1.15,1.23,1.13,310276
NATIONAL CINEMEDIA INC.,6.8,0.15,6.77,6.85,6.72,310129
MONDAY.COM,291.73,0.75,291.89,293.88,288.08,310058
CARDIO DIAGNOSTICS HLD.,0.2108,0.38,0.21,0.2145,0.2021,310029
NMI HOLDINGS INC,41.0,0.32,40.85,41.05,40.53,309761
2SEVENTY BIO INC.,5.0,10.2,5.01,5.1,4.94,309498
SPROUT SOCIAL INC,28.45,11.56,29.04,29.04,28.34,309368
XENCOR INC.,21.03,11.22,21.29,21.65,20.76,308538
FIRST HAWAIIAN INC.,23.63,0.38,23.53,23.8,23.36,308436
HANMI FINANCIAL,20.06,0.8,19.95,20.15,19.78,307688
VEECO INSTRUMENTS INC.,33.75,1.26,33.42,34.18,33.42,305458
AMERICAN RESOURCES,1.07,15.31,1.12,1.13,1.05,303961
MYR GROUP INC.,119.02,0.63,118.16,119.43,116.75,302945
CLIMB BIO INC.,5.44,0.37,5.43,5.46,5.22,302300
CONSTRUCTION PARTNERS INC.,74.49,1.29,73.66,74.93,73.37,301603
